AID,SID,CID,Activity Outcome,Target Accession,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Assay Type,PubMed ID,RNAi,SMILES
1433,50100086,11485656,Active,AAH00442,9212,0.3900000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,BAA35073,6793,0.4600000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_000213,3815,0.0017000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_000213,3815,0.0038000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_000213,3815,0.0210000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_000213,3815,0.0810000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_001036065,11184,0.8300000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_001073917,285220,0.3300000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_001251,1024,0.0950000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_001252,1025,3.0000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
